Time(s),Input(v),Output(v),Output(m)
5,2.495,0.000,0.000
5.1,2.495,0.000,0.000
5.2,2.505,0.000,0.000
5.3,2.495,0.000,0.000
5.4,2.495,0.000,0.000
5.5,2.495,0.000,0.000
5.6,2.495,0.000,0.000
5.7,2.495,0.000,0.000
5.8,2.495,0.000,0.000
5.9,2.495,0.000,0.000
5.99999999999999,2.495,0.000,0.000
6.09999999999999,2.495,0.000,0.000
6.19999999999999,2.495,0.000,0.000
6.29999999999999,2.495,0.000,0.000
6.39999999999999,2.495,0.000,0.000
6.49999999999999,2.495,0.000,0.000
6.59999999999999,2.495,0.000,0.000
6.69999999999999,2.495,0.000,0.000
6.79999999999999,2.495,0.000,0.000
6.89999999999999,2.495,0.000,0.000
6.99999999999999,2.495,0.000,0.000
7.09999999999999,2.495,0.000,0.000
7.19999999999999,2.495,0.000,0.000
7.29999999999999,2.495,0.000,0.000
7.39999999999999,2.495,0.000,0.000
7.49999999999999,2.495,0.000,0.000
7.59999999999999,2.495,0.000,0.000
7.69999999999999,2.495,0.000,0.000
7.79999999999999,2.495,0.000,0.000
7.89999999999999,2.495,0.000,0.000
7.99999999999999,2.495,0.000,0.000
8.09999999999999,2.495,0.000,0.000
8.19999999999999,2.495,0.000,0.000
8.29999999999999,2.495,0.000,0.000
8.39999999999999,2.495,0.000,0.000
8.49999999999999,2.495,0.000,0.000
8.59999999999999,2.495,0.000,0.000
8.69999999999999,2.495,0.000,0.000
8.79999999999998,2.495,0.000,0.000
8.89999999999998,2.495,0.000,0.000
8.99999999999998,2.495,0.000,0.000
9.09999999999998,2.495,0.000,0.000
9.19999999999998,2.495,0.000,0.000
9.29999999999998,2.495,0.000,0.000
9.39999999999998,2.495,0.000,0.000
9.49999999999998,2.495,0.000,0.000
9.59999999999998,2.495,0.000,0.000
9.69999999999998,2.495,0.000,0.000
9.79999999999998,2.495,0.000,0.000
9.89999999999998,2.495,0.000,0.000
9.99999999999998,2.495,0.000,0.000
10.1,2.495,0.000,0.000
10.2,2.495,0.000,0.000
10.3,2.495,0.000,0.000
10.4,2.495,0.000,0.000
10.5,2.495,0.000,0.000
10.6,2.495,0.000,0.000
10.7,2.495,0.000,0.000
10.8,2.495,0.000,0.000
10.9,2.495,0.000,0.000
11,2.495,0.000,0.000
11.1,2.495,0.000,0.000
11.2,2.495,0.000,0.000
11.3,2.495,0.000,0.000
11.4,2.495,0.000,0.000
11.5,2.495,0.000,0.000
