Time(s),Input(v),Output(v),Output(m)
1.9,2.495,0.000,0.000
2,2.495,0.000,0.000
2.1,2.495,0.000,0.000
2.2,2.495,0.000,0.000
2.3,2.495,0.000,0.000
2.4,2.495,0.000,0.000
2.5,2.495,0.000,0.000
2.6,2.505,0.000,0.000
2.7,2.495,0.000,0.000
2.8,2.495,0.000,0.000
2.9,2.505,0.000,0.000
3,2.505,0.000,0.000
3.1,2.495,0.000,0.000
3.2,2.495,0.000,0.000
3.3,2.505,0.000,0.000
3.4,2.505,0.001,0.001
3.5,2.505,0.001,0.001
3.6,2.505,0.001,0.001
3.7,2.505,0.002,0.002
3.8,2.505,0.002,0.002
3.9,2.505,0.003,0.003
4,2.505,0.003,0.003
4.1,2.505,0.004,0.004
4.2,2.505,0.005,0.005
4.3,2.505,0.006,0.006
4.4,2.515,0.007,0.007
4.5,2.515,0.009,0.009
4.6,2.515,0.010,0.010
4.7,2.515,0.012,0.012
4.8,2.515,0.014,0.015
4.9,2.515,0.017,0.017
5,2.505,0.020,0.020
5.1,2.515,0.022,0.023
5.2,2.515,0.026,0.026
5.3,2.515,0.029,0.030
5.4,2.505,0.033,0.033
5.5,2.505,0.036,0.037
5.6,2.505,0.040,0.041
5.7,2.515,0.044,0.045
5.8,2.505,0.048,0.049
5.9,2.505,0.052,0.053
5.99999999999999,2.505,0.056,0.057
6.09999999999999,2.505,0.060,0.061
6.19999999999999,2.505,0.064,0.066
6.29999999999999,2.505,0.069,0.070
6.39999999999999,2.505,0.073,0.075
6.49999999999999,2.505,0.077,0.079
6.59999999999999,2.505,0.082,0.083
6.69999999999999,2.505,0.086,0.088
6.79999999999999,2.505,0.091,0.093
6.89999999999999,2.505,0.095,0.097
6.99999999999999,2.505,0.100,0.102
7.09999999999999,2.505,0.104,0.107
7.19999999999999,2.505,0.109,0.111
7.29999999999999,2.505,0.114,0.116
7.39999999999999,3.753,0.119,0.121
7.49999999999999,5.000,0.149,0.152
7.59999999999999,5.000,0.230,0.235
7.69999999999999,5.000,0.362,0.369
7.79999999999999,5.000,0.542,0.554
7.89999999999999,5.000,0.772,0.788
7.99999999999999,5.000,1.050,1.071
8.09999999999999,5.000,1.375,1.403
8.19999999999999,5.000,1.747,1.782
8.29999999999999,5.000,2.165,2.209
8.39999999999999,5.000,2.628,2.682
8.49999999999999,5.000,3.137,3.201
8.59999999999999,5.000,3.689,3.764
8.69999999999999,5.000,4.285,4.373
8.79999999999998,5.000,4.924,5.025
8.89999999999998,5.000,5.606,5.720
8.99999999999998,5.000,6.329,6.458
9.09999999999998,5.000,7.094,7.239
9.19999999999998,5.000,7.899,8.060
9.29999999999998,5.000,8.744,8.923
9.39999999999998,5.000,9.629,9.826
9.49999999999998,5.000,10.000,10.768
9.59999999999998,5.000,10.000,11.750
9.69999999999998,5.000,10.000,12.771
9.79999999999998,5.000,10.000,13.829
9.89999999999998,5.000,10.000,14.925
9.99999999999998,5.000,10.000,16.059
10.1,5.000,10.000,17.229
10.2,5.000,10.000,18.435
10.3,5.000,10.000,19.676
10.4,5.000,10.000,20.953
10.5,5.000,10.000,22.264
10.6,5.000,10.000,23.609
10.7,5.000,10.000,24.988
10.8,5.000,10.000,26.400
10.9,5.000,10.000,27.844
11,5.000,10.000,29.321
11.1,5.000,10.000,30.830
11.2,5.000,10.000,32.370
11.3,5.000,10.000,33.941
11.4,5.000,10.000,35.542
11.5,5.000,10.000,37.174
11.6,5.000,10.000,38.835
11.7,5.000,10.000,40.525
11.8,5.000,10.000,42.244
11.9,5.000,10.000,43.991
12,5.000,10.000,45.767
12.1,5.000,10.000,47.570
12.2,5.000,10.000,49.401
12.3,5.000,10.000,51.258
12.4,5.000,10.000,53.142
12.5,5.000,10.000,55.051
12.6,5.000,10.000,56.987
12.7,5.000,10.000,58.948
12.8,5.000,10.000,60.934
12.9,5.000,10.000,62.945
13,5.000,10.000,64.980
13.1,5.000,10.000,67.039
13.2,5.000,10.000,69.122
13.3,5.000,10.000,71.228
13.4,5.000,10.000,73.357
13.5,5.000,10.000,75.509
13.6,5.000,10.000,77.683
13.7,5.000,10.000,79.880
13.8,5.000,10.000,82.098
13.9,5.000,10.000,84.337
14,5.000,10.000,86.598
14.1,5.000,10.000,88.880
14.2,5.000,10.000,91.182
14.3,5.000,10.000,93.504
14.4,5.000,10.000,95.847
14.5,5.000,10.000,98.209
14.6,5.000,10.000,100.591
14.7,5.000,10.000,102.992
14.8,5.000,10.000,105.412
14.9,5.000,10.000,107.850
15,5.000,10.000,110.307
15.1,5.000,10.000,112.782
15.2,5.000,10.000,115.275
15.3,5.000,10.000,117.785
15.4,5.000,10.000,120.313
15.5,5.000,10.000,122.858
15.6,5.000,10.000,125.421
15.7,5.000,10.000,127.999
15.8,5.000,10.000,130.594
15.9,5.000,10.000,133.206
16,5.000,10.000,135.833
16.1,5.000,10.000,138.476
16.2,5.000,10.000,141.135
